1
Vendor Device GVertexMath GPixelMath GOutputBytes GAniso1 GAniso2 GAniso4 GAniso8 GAniso16
1002 1309 39.50 45.03 13.02 3.13 2.46 1.65 1.24 0.91 "AMD Radeon(TM) R7 Graphics"
1002 130A 44.26 53.61 14.47 3.47 2.83 2.01 1.50 1.10 "AMD Radeon(TM) Dual Graphics"
1002 130B 9.43 9.63 3.58 0.84 0.70 0.39 0.29 0.21 "AMD Radeon(TM) R4 Graphics"
1002 130C 71.56 67.77 25.18 5.77 4.97 2.84 2.11 1.51 "AMD Radeon(TM) R7 Graphics"
1002 130D 19.41 28.28 7.01 1.69 1.37 0.97 0.75 0.56 "AMD Radeon(TM) R6 Graphics"
1002 130E 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 "AMD Radeon(TM) R5 Graphics"
1002 130F 21.30 26.80 4.83 1.25 1.08 0.86 0.70 0.50 "AMD Radeon R7 Graphics + (TM) R5 Dual Graphics"
1002 1313 29.42 32.47 9.05 2.25 1.94 1.26 0.94 0.68 "AMD Radeon R7 Series"
1002 1315 7.33 8.56 1.67 0.46 0.38 0.32 0.24 0.17 "AMD Radeon(TM) R5 Graphics"
1002 1318 37.23 44.33 14.44 3.39 2.52 1.67 1.25 0.91 "AMD Radeon(TM) R5 Graphics"
1002 15D8 59.32 88.15 41.96 8.76 6.35 3.64 2.60 1.87 "AMD Radeon(TM) RX Vega 10 Graphics"
1002 15DD 70.67 100.39 49.34 10.64 7.57 4.30 3.07 2.19 "AMD Radeon(TM) RX Vega 10 Graphics"
1002 1636 27.94 36.22 12.54 3.13 2.61 1.49 1.07 0.77 "AMD Radeon(TM) Graphics"
1002 3E50 0.34 1.35 3.43 0.58 0.30 0.15 0.08 0.05 "RADEON X600/X550 Series"
1002 4150 0.30 1.18 2.83 0.57 0.29 0.13 0.07 0.04 "ATI Radeon 9600/9550/X1050 Series"
1002 4152 0.46 1.82 4.80 0.90 0.45 0.21 0.11 0.07 "ATI Radeon 9600 / X1050 Series"
1002 4153 0.23 0.91 2.30 0.39 0.20 0.10 0.05 0.03 "ATI Radeon 9550 / X1050 Series"
